"pais","IDH"
"Noruega","0,944"
"Austrália","0,935"
"Suíça","0,930"
"Dinamarca","0,923"
"Países Baixos","0,922"
"Alemanha","0,916"
"Irlanda","0,916"
"Estados Unidos","0,915"
"Canadá","0,913"
"Nova Zelândia","0,913"
"Singapura","0,912"
"Hong Kong, China (SAR)","0,910"
"Liechtenstein","0,908"
"Suécia","0,907"
"Reino Unido","0,907"
"Islândia","0,899"
"Coreia (República da)","0,898"
"Israel","0,894"
"Luxemburgo","0,892"
"Japão","0,891"
"Bélgica","0,890"
"França","0,888"
"Áustria","0,885"
"Finlândia","0,883"
"Eslovênia","0,880"
"Espanha","0,876"
"Itália","0,873"
"República Tcheca","0,870"
"Grécia","0,865"
"Estônia","0,861"
"Brunei Darussalam","0,856"
"Chipre","0,850"
"Qatar","0,850"
"Andorra","0,845"
"Eslováquia","0,844"
"Polônia","0,843"
"Lituânia","0,839"
"Malta","0,839"
"Arábia Saudita","0,837"
"Argentina","0,836"
"Emirados Árabes Unidos","0,835"
"Chile","0,832"
"Portugal","0,830"
"Hungria","0,828"
"Bahrein","0,824"
"Letônia","0,819"
"Croácia","0,818"
"Kuwait","0,816"
"Montenegro","0,802"
"Belarus","0,798"
"Federação Russa","0,798"
"Omã","0,793"
"Romênia","0,793"
"Uruguai","0,793"
"Bahamas","0,790"
"Cazaquistão","0,788"
"Barbados","0,785"
"Antígua e Barbuda","0,783"
"Bulgária","0,782"
"Palau","0,780"
"Panamá","0,780"
"Malásia","0,779"
"Maurício","0,777"
"Seicheles","0,772"
"Trinidade e Tobago","0,772"
"Sérvia","0,771"
"Cuba","0,769"
"Líbano","0,769"
"Costa Rica","0,766"
"Irã (República Islâmica do)","0,766"
"Venezuela (República Bolivariana da)","0,762"
"Turquia","0,761"
"Sri Lanka","0,757"
"México","0,756"
"Brasil","0,755"
"Geórgia","0,754"
"São Cristóvão e Nevis","0,752"
"Azerbaijão","0,751"
"Granada","0,750"
"Jordânia","0,748"
"Antiga República Iugoslava da Macedônia","0,747"
"Ucrânia","0,747"
"Argélia","0,736"
"Peru","0,734"
"Albânia","0,733"
"Armênia","0,733"
"Bósnia-Herzegovina","0,733"
"Equador","0,732"
"Santa Lúcia","0,729"
"China","0,727"
"Fiji","0,727"
"Mongólia","0,727"
"Tailândia","0,726"
"Dominica","0,724"
"Líbia","0,724"
"Tunísia","0,721"
"Colômbia","0,720"
"São Vicente e Granadinas","0,720"
"Jamaica","0,719"
"Tonga","0,717"
"Belize","0,715"
"República Dominicana","0,715"
"Suriname","0,714"
"Maldivas","0,706"
"Samoa","0,702"
"Botswana","0,698"
"Moldávia (República da)","0,693"
"Egito","0,690"
"Turcomenistão","0,688"
"Gabão","0,684"
"Indonésia","0,684"
"Paraguai","0,679"
"Palestina, Estado da","0,677"
"Uzbequistão","0,675"
"Filipinas","0,668"
"El Salvador","0,666"
"África do Sul","0,666"
"Vietnã","0,666"
"Bolívia (Estado Plurinacional da)","0,662"
"Quirquistão","0,655"
"Iraque","0,654"
"Cabo Verde","0,646"
"Micronésia (Estados Federados da)","0,640"
"Guiana","0,636"
"Nicarágua","0,631"
"Marrocos","0,628"
"Namíbia","0,628"
"Guatemala","0,627"
"Tajiquistão","0,624"
"Índia","0,609"
"Honduras","0,606"
"Butão","0,605"
"Timor-Leste","0,595"
"Síria, República Árabe da","0,594"
"Vanuatu","0,594"
"Congo","0,591"
"Quiribati","0,590"
"Guiné Equatorial","0,587"
"Zâmbia","0,586"
"Gana","0,579"
"Laos, República Democrática Popular do","0,575"
"Bangladesh","0,570"
"Camboja","0,555"
"São Tomé e Príncipe","0,555"
"Quênia","0,548"
"Nepal","0,548"
"Paquistão","0,538"
"Mianmar","0,536"
"Angola","0,532"
"Suazilândia","0,531"
"Tanzânia (República Unida da)","0,521"
"Nigéria","0,514"
"Camarões","0,512"
"Madagascar","0,510"
"Zimbabué","0,509"
"Mauritânia","0,506"
"Ilhas Salomão","0,506"
"Papua-Nova Guiné","0,505"
"Comores","0,503"
"Iêmen","0,498"
"Lesoto","0,497"
"Togo","0,484"
"Haiti","0,483"
"Ruanda","0,483"
"Uganda","0,483"
"Benin","0,480"
"Sudão","0,479"
"Djibouti","0,470"
"Sudão do Sul","0,467"
"Senegal","0,466"
"Afeganistão","0,465"
"Costa do Marfim","0,462"
"Malaui","0,445"
"Etiópia","0,442"
"Gâmbia","0,441"
"Congo (República Democrática do)","0,433"
"Libéria","0,430"
"Guinea-Bissau","0,420"
"Mali","0,419"
"Moçambique","0,416"
"Serra Leoa","0,413"
"Guiné Equatorial","0,411"
"Burkina Faso","0,402"
"Burundi","0,400"
"Chade","0,392"
"Eritrea","0,391"
"República Centro Africana","0,350"
"Níger","0,348"
"Coreia (República Popular Democrática da)",".."
"Marshall, Ilhas",".."
"Mônaco",".."
"Nauru",".."
"São Marino",".."
"Somália",".."
"Tuvalu",".."
